latitude,longitude,year,avg_rainfall,max_rainfall,avg_temperature,max_temperature
23.5,65.0,2021,0.5686027397260274,26.05,26.472438356164385,30.3
23.5,65.0,2022,1.2634520547945205,66.8,26.715287671232876,30.14
23.5,65.0,2023,0.05681318681318681,1.06,23.33087912087912,26.03
23.5,65.625,2020,2.6451428571428575,126.19,28.197224489795918,31.39
23.5,65.625,2021,1.0535616438356166,56.66,26.526438356164384,30.29
23.5,65.625,2022,1.7975342465753426,98.73,26.732712328767125,30.19
23.5,65.625,2023,0.02593406593406593,0.76,23.31626373626374,25.97
23.5,66.25,2020,3.9447755102040816,162.38,28.220979591836738,31.43
23.5,66.25,2021,1.3030684931506848,66.89,26.55827397260274,30.35
23.5,66.25,2022,1.9934246575342467,99.0,26.71731506849315,30.15
23.5,66.25,2023,0.016043956043956045,0.47,23.22901098901099,25.84
23.5,66.875,2020,5.373020408163264,324.59,28.17951020408163,31.44
23.5,66.875,2021,1.4054794520547946,58.94,26.528109589041097,30.41
23.5,66.875,2022,2.3764109589041094,87.21,26.640657534246575,30.05
23.5,66.875,2023,0.023736263736263738,0.41,23.056043956043954,25.71
23.5,67.5,2020,5.5543673469387755,183.26,27.952163265306122,31.57
23.5,67.5,2021,1.7022739726027398,79.79,26.34041095890411,30.64
23.5,67.5,2022,2.9030958904109587,128.57,26.41509589041096,29.96
23.5,67.5,2023,0.03560439560439561,0.84,22.59263736263736,25.62
23.5,68.125,2020,4.1041224489795916,85.31,27.684897959183676,31.6
23.5,68.125,2021,1.5630958904109589,79.66,26.15435616438356,32.64
23.5,68.125,2022,3.7790410958904106,253.27,26.24082191780822,30.36
23.5,68.125,2023,0.07406593406593406,3.01,22.037582417582417,26.4
23.5,68.75,2020,3.939142857142857,90.57,27.231061224489796,33.09
23.5,68.75,2021,1.5423561643835617,89.57,26.42246575342466,33.73
23.5,68.75,2022,3.7416438356164385,255.38,26.321369863013697,32.85
23.5,68.75,2023,0.0823076923076923,3.13,22.728681318681318,28.72
23.5,69.375,2020,3.7851020408163265,81.54,27.254938775510205,33.65
23.5,69.375,2021,1.7397260273972603,84.97,26.391972602739724,33.64
23.5,69.375,2022,2.89558904109589,138.66,26.454164383561643,34.39
23.5,69.375,2023,0.20197802197802198,6.11,22.65967032967033,29.22
23.5,70.0,2020,3.791020408163265,89.46,27.675102040816324,34.74
23.5,70.0,2021,1.731041095890411,74.78,26.855013698630138,34.85
23.5,70.0,2022,2.1854794520547944,73.25,26.97049315068493,35.43
23.5,70.0,2023,0.3134065934065934,10.67,23.02098901098901,29.58
24.0,60.0,2020,0.08910204081632653,2.74,28.19644897959184,31.63
24.0,60.0,2021,0.15082191780821916,16.58,27.18104109589041,32.33
24.0,60.0,2022,0.3533972602739726,21.25,27.36816438356164,31.64
24.0,60.0,2023,0.20406593406593407,6.25,23.633846153846154,26.5
24.0,60.625,2020,0.11579591836734693,8.43,27.849918367346937,30.79
24.0,60.625,2021,0.09572602739726027,4.0,26.73068493150685,31.6
24.0,60.625,2022,0.24046575342465754,13.53,27.00430136986301,30.94
24.0,60.625,2023,0.1756043956043956,4.82,23.516263736263735,26.33
24.0,61.25,2020,0.11632653061224489,6.85,27.788448979591838,30.77
24.0,61.25,2021,0.09832876712328767,4.25,26.44890410958904,30.73
24.0,61.25,2022,0.2286027397260274,13.26,26.774164383561644,30.56
24.0,61.25,2023,0.16868131868131866,4.37,23.334505494505496,26.04
24.0,61.875,2020,0.1906530612244898,13.01,27.89130612244898,30.78
24.0,61.875,2021,0.09520547945205479,7.08,26.391013698630136,30.49
24.0,61.875,2022,0.2223287671232877,10.43,26.704739726027395,30.22
24.0,61.875,2023,0.16131868131868132,2.58,23.19934065934066,25.97
24.0,62.5,2020,0.5693061224489796,37.4,27.942448979591834,31.12
24.0,62.5,2021,0.16032876712328767,17.77,26.418054794520547,30.44
24.0,62.5,2022,0.3874520547945206,23.69,26.69830136986301,30.09
24.0,62.5,2023,0.16197802197802197,2.62,23.16087912087912,25.94
24.0,63.125,2020,0.9997142857142858,61.87,27.980530612244895,31.16
24.0,63.125,2021,0.2443013698630137,24.83,26.456164383561642,30.37
24.0,63.125,2022,0.5831506849315068,33.2,26.692712328767122,30.0
24.0,63.125,2023,0.14593406593406594,2.38,23.18758241758242,25.97
24.0,63.75,2020,0.9593061224489796,63.77,27.996367346938776,31.29
24.0,63.75,2021,0.2618356164383561,16.45,26.475616438356166,30.24
24.0,63.75,2022,0.7101917808219177,27.02,26.670438356164382,30.1
24.0,63.75,2023,0.1310989010989011,3.25,23.185054945054947,25.88
24.0,64.375,2020,1.2663265306122449,39.17,28.054326530612247,31.34
24.0,64.375,2021,0.3916986301369863,18.29,26.485698630136987,30.48
24.0,64.375,2022,1.143123287671233,48.46,26.67087671232877,30.08
24.0,64.375,2023,0.09538461538461539,2.78,23.16197802197802,25.88
24.0,65.0,2020,1.5996734693877552,62.27,28.137877551020406,31.49
24.0,65.0,2021,0.5636712328767123,27.02,26.514630136986302,30.54
24.0,65.0,2022,1.414849315068493,70.78,26.700191780821918,30.17
24.0,65.0,2023,0.07901098901098902,2.58,23.212967032967033,25.98
24.0,65.625,2020,2.6077142857142857,94.45,28.18918367346939,31.55
24.0,65.625,2021,1.0301369863013699,45.0,26.549972602739725,30.7
24.0,65.625,2022,1.9916986301369863,102.47,26.708465753424658,30.27
24.0,65.625,2023,0.037802197802197804,1.75,23.209890109890107,25.89
24.0,66.25,2020,3.2909387755102038,81.43,28.199795918367347,31.57
24.0,66.25,2021,1.301972602739726,55.32,26.52997260273973,30.73
24.0,66.25,2022,2.1697808219178083,106.86,26.663808219178083,30.26
24.0,66.25,2023,0.02,0.88,23.10813186813187,25.72
24.0,66.875,2020,4.022612244897959,112.54,28.092408163265308,31.49
24.0,66.875,2021,1.4075068493150684,60.82,26.43841095890411,30.95
24.0,66.875,2022,2.5563835616438357,98.11,26.534520547945206,30.07
24.0,66.875,2023,0.025494505494505493,0.6,22.801978021978023,25.6
24.0,67.5,2020,3.7295510204081634,89.5,27.796163265306124,32.31
24.0,67.5,2021,1.505643835616438,133.41,26.602356164383565,33.43
24.0,67.5,2022,2.9113972602739726,141.76,26.51095890410959,31.49
24.0,67.5,2023,0.045494505494505504,1.09,22.455714285714286,26.61
24.0,68.125,2020,3.0134285714285713,90.76,27.907102040816326,33.96
24.0,68.125,2021,1.9787945205479451,201.91,26.92213698630137,34.71
24.0,68.125,2022,3.089534246575343,169.85,26.824712328767124,33.77
24.0,68.125,2023,0.08538461538461539,2.93,22.635384615384616,28.3
24.0,68.75,2020,3.024163265306122,88.35,28.28995918367347,35.77
24.0,68.75,2021,1.9543835616438356,185.55,27.374191780821917,34.92
24.0,68.75,2022,3.0803287671232873,171.74,27.293369863013698,35.14
24.0,68.75,2023,0.09109890109890109,3.25,23.18076923076923,29.2
24.0,69.375,2020,3.070326530612245,74.32,28.130367346938772,35.8
